"";"name";"name_url";"authors";"type";"description"
"35";"Expression of barley yellow dwarf virus and Russian wheat aphid resistance genes in and fertility of spring wheat × triticale hybrids and backcross lines";"https://link.springer.com/article/10.1007/BF00027485";"K. K. Nkongolo in Euphytica (1996)";"Article";"
      The Barley Yellow Dwarf Virus disease (BYDV) and the Russian wheat aphid (RWA) Diuraphis noxia (Mordvilko) have caused significant losses to wheat and barley in several areas of the ... found in Triticale. Differ...
    "
"36";"The inheritance of host plant effect on latency period of wheat leaf rust in spring wheat. II: Number of segregating factors and evidence for trangressive segregation in F3 and F5 generations";"https://link.springer.com/article/10.1007/BF00037527";"L. H. M. Broers, Th. Jacobs in Euphytica (1989)";"Article";"
      Three partially resistant spring wheat cultivars, with a long latency period were...
    "
"37";"Segregation of genetic markers among wheat doubled haploid lines derived from wheat x maize crosses";"https://link.springer.com/article/10.1007/BF00022576";"Kazuhiro Suenaga, Kousuke Nakajima in Euphytica (1992)";"Article";"
      Wheat doubled haploid (DH) lines were produced...1...hybrid, Fukudo-komugi x Oligo Culm, through intergeneric crosses between wheat and maize. F2 plants and 203 DH lines were analyzed for the segregation of the e...
    "
"38";"Searching for DNA introgressed from wheat and for wheat-like grain proteins in a rice x wheat hybridization derivative";"https://link.springer.com/article/10.1007/BF00034155";"Hannu Ahokas in Euphytica (1993)";"Article";"
      The DNA of a putative rice x wheat hybridization derivative (X Oryticum oryzoides...) from China, the DNA of its parental rice cultivar and the DNA of a wheat line were digested with ten different restriction ......
    "
"39";"Expression of 17 rye (Secale cereale L.) traits in a range of durum wheat (Triticum durum Desf.) and bread wheat (T. aestivum L.) genetic backgrounds";"https://link.springer.com/article/10.1007/BF00022256";"Sarvjeet Singh, G. S. Sethi in Euphytica (1992)";"Article";"
      Expression of 17 rye traits in 24 bread wheat x rye and 8 durum wheat x rye crosses was studied, using a...Triticum aestivum and T. durum wheats with rye. Dark greenness of leaves of rye was expressed in all the ...
    "
"40";"Heterotic effects of wheat-rye chromosomal translocations on agronomic traits of hybrid wheat (Triticum aestivum L.) under an adequate moisture regime";"https://link.springer.com/article/10.1023/A%3A1024632619171";"J.O. Owuoche, R.G. Sears, G.L. Brown-Guedira, B.S. Gill, A.K. Fritz in Euphytica (2003)";"Article";"
      Translocated chromosomes T1BL⋅1RS and T1AL⋅1RS have been widely used in many wheat (Triticum aestivum...L.) breeding programs to develop high yielding cultivars. The objective of this study was to evaluate the he...
    "
"41";"Race-specific aspects of partial resistance in wheat to wheat leaf rust, Puccinia recondita f.sp. tritici
    ";"https://link.springer.com/article/10.1007/BF00037535";"L. H. M. Broers in Euphytica (1989)";"Article";"
      Partial resistance (PR) in wheat to wheat leaf rust (Puccinia recondita f.sp. tritici...) is characterized by a slow epidemic build-up despite a susceptible infection type. Two greenhouse tests and two field test...
    "
"42";"Photosynthesis, transpiration, resistance to CO2 transfer, and water efficiency of flag leaf of bread wheat, durum wheat and triticale";"https://link.springer.com/article/10.1007/BF00056598";"C. Planchon in Euphytica (1979)";"Article";"
      Net photosynthesis, transpiration, and resistances to CO2 and water vapour transfer of two cultivars of each of four types (Triticum durum, Triticum aestivum.... hexaploid Triticale, octaploid Triticale) were ana...
    "
"43";"Adaptation of wheat rusts to the wheat cultivars in former Czechoslovakia";"https://link.springer.com/article/10.1007/BF00022834";"Pavel Bartoš, Eva Stuchlíková, Renata Hanušová in Euphytica (1996)";"Article";"
      In former Czechoslovakia virulence of rusts attacking wheat was studied since the sixties. Since the...Berberis and Thalictrum...as alternate hosts for stem rust and leaf rust, respectively, was investigated as w...
    "
"44";"Erratum to: QTLs for root traits at mid-tillering and for root and shoot traits at maturity in a RIL population of spring bread wheat grown under well-watered conditions";"https://link.springer.com/article/10.1007/s10681-016-1736-9";"B. Ehdaie, S. A. Mohammadi, M. Nouraein, H. Bektas, J. G. Waines in Euphytica (2016)";"Article";"
      
    "
"45";"Carbon isotope discrimination and indirect selection for transpiration efficiency at flowering in lentil (Lens culinaris Medikus), spring bread wheat (Triticum aestivum L.) durum wheat (T. turgidum L.), and canola (Brassica napus L.)";"https://link.springer.com/article/10.1007/BF00021887";"A. Matus, A. E. Slinkard, C. van Kessel in Euphytica (1996)";"Article";"
      Carbon isotope discrimination has been proposed to indirectly select for transpiration efficiency in several C3 species. To determine the effectiveness of carbon isotope discrimination to indirectly select for tr...
    "
"46";"Russian wheat aphid-induced protein alterations in spring wheat";"https://link.springer.com/article/10.1023/A%3A1003866626723";"D.R. Porter, J.A. Webster in Euphytica (2000)";"Article";"
      The Russian wheat aphid (RWA), Diuraphis noxia...(Mordvilko), has become a perennial, serious pest of wheat (Triticum aestivum...L.) in the western United States. Current methodologies used to enhance RWA resista...
    "
"47";"Genetic relationships and diversity among Tibetan wheat, common wheat and European spelt wheat revealed by RAPD markers";"https://link.springer.com/article/10.1023/A%3A1018316129246";"Qixin Sun, Zhongfu Ni, Zhiyong Liu, Jianwei Gao, Tiecheng Huang in Euphytica (1998)";"Article";"
      An endemic hexaploid wheat found in Tibet, China was taxonomically classified as a subspecies in common wheat, i.e. Triticum aestivum ssp. tibetanum. Seven accessions of the Tibetan wheat, 22 cultivars of common 
    "
"48";"Erratum to: Differential influence of QTL linked to Fusarium head blight, Fusarium-damaged kernel, deoxynivalenol contents and associated morphological traits in a Frontana-derived wheat population";"https://link.springer.com/article/10.1007/s10681-014-1229-7";"Ágnes Szabó-Hevér, Szabolcs Lehoczki-Krsjak, Mónika Varga, László Purnhauser… in Euphytica (2014)";"Article";"
      
    "
"49";"Transfer of high kernel weight and high protein from wild tetraploid wheat (Triticum turgidum dicoccoides) to bread wheat (T. aestivum) using homologous and homoeologous recombination";"https://link.springer.com/article/10.1007/BF00022773";"U. Kushnir, G. M. Halloran in Euphytica (1984)";"Article";"
      Wheat pentaploids were produced by hybridizing a high ... (25.4%) line of wild tetraploid wheat (Triticum turgidum dicoccoides) as male parent, with the three hexaploids (T. aestivum) — normal Chinese Spring and ...
    "
"50";"Is the pedigree of the near-isogenic line Michigan Amber/8*Chancellor of bread wheat correct?";"https://link.springer.com/article/10.1007/BF00033657";"A. C. Zeven in Euphytica (1981)";"Article";"
      It is shown that the near-isogenic line Michigan Amber/8*Chancellor cannot derive from Michigan Amber. Marquillo is suggested as the donor cultivar.
    "
"51";"Wheat quality requirements of Asian foods";"https://link.springer.com/article/10.1023/A%3A1018305418365";"G.B. Crosbie, S. Huang, I.R. Barclay in Euphytica (1998)";"Article";"
      Australian wheat quality research has focused on the quality ... for the laboratory manufacture and quality assessment of wheat-based food products. Products considered have included ... The research has also bee...
    "
"52";"Chromosomal location of genes for resistance to powdery mildew in common wheat (Triticum aestivum L. em Thell.). 9. Gene MlZec1 from the Triticum dicoccoides-derived wheat line Zecoi-1";"https://link.springer.com/article/10.1007/s10681-005-1251-x";"Volker Mohler, Friedrich J. Zeller, Gerhard Wenzel, Sai L. K. Hsam in Euphytica (2005)";"Article";"
      The Triticum dicoccoides-derived wheat line Zecoi-1 provides effective protection against...3 segregation analysis of Chinese Spring × Zecoi-1 hybrids showed that resistance in line Zecoi-1 is controlled by a sin...
    "
"53";"Sources of the highly expressed wheat bread making (wbm) gene in CIMMYT spring wheat germplasm and its effect on processing and bread-making quality";"https://link.springer.com/article/10.1007/s10681-016-1659-5";"Carlos Guzmán, Yonggui Xiao, Jose Crossa, Héctor González-Santoyo… in Euphytica (2016)";"Article";"
      Bread-making quality is a core trait for wheat breeding programs. Recently, the expression of a novel gene named wheat bread making (wbm...) gene has been associated with good bread-making quality. In this study,...
    "
"54";"Chromosome pairing in durum wheat haploids with and without ph1b of bread wheat";"https://link.springer.com/article/10.1007/s10681-007-9523-2";"Prem P. Jauhar, Münevver Doğramacı in Euphytica (2008)";"Article";"
      Durum or macaroni wheat (Triticum turgidum L., 2n = 4x = 28; AABB) is an allotetraploid with two related genomes, AA and BB, each with seven pairs of homologous chromosomes. Although the corresponding chromosomes...
    "
"55";"Resistance to Wheat streak mosaic virus identified in synthetic wheat lines";"https://link.springer.com/article/10.1007/s10681-014-1095-3";"Jessica L. Shoup Rupp, Zachary G. Simon, Beth Gillett-Walker, John P. Fellers in Euphytica (2014)";"Article";"
      
                      Wheat streak mosaic virus (WSMV) is an important pathogen in wheat that causes significant yield losses each year. ... cultural practices such as the removal of volunteer wheat. Genetic resistanc...
    "
"56";"Influence of winter and spring wheat genetic backgrounds on haploid induction parameters and trait correlations in the wheat × maize system";"https://link.springer.com/article/10.1007/s10681-005-5812-9";"Shivali Sharma, G. S. Sethi, H. K. Chaudhary in Euphytica (2005)";"Article";"
      The interactive influence of winter and/or spring wheat genetic background on haploid induction parameters and ... and diverse genotypes each of winter and spring wheat and their F1...s (winter × winter, spring ×...
    "
"57";"Agronomic and quality effects in winter wheat of a gene conditioning resistance to wheat streak mosaic virus";"https://link.springer.com/article/10.1007/s10681-006-9174-8";"L. A. Divis, R. A. Graybosch, C. J. Peterson, P. S. Baenziger, G. L. Hein… in Euphytica (2006)";"Article";"
      Wheat streak mosaic virus (WSMV) is one of the most important diseases limiting winter wheat (Triticum aestivum...L.) production in the western Great Plains of North America. There is no known effective WSMV resi...
    "
"58";"Generation means analysis of wheat streak mosaic virus resistance in winter wheat";"https://link.springer.com/article/10.1007/s10681-004-2490-y";"Frederick Hakizimana, Amir M.H. Ibrahim, Marie A.C. Langham, Jackie C. Rudd… in Euphytica (2004)";"Article";"
      Wheat streak mosaic virus (WSMV; Family: potyviridae; Genus: Tritimovirus) is a major threat to winter wheat (Triticum aestivum...L. em. Thell) production worldwide, yet little is known about the genetic control ...
    "
"59";"Molecular detection of rye (Secale cereale L.) chromatin in wheat line 07jian126 (Triticum aestivum L.) and its association to wheat powdery mildew resistance";"https://link.springer.com/article/10.1007/s10681-012-0649-5";"Shuiyang Yu, Hai Long, Hong Yang, Jie Zhang, Guangbing Deng, Zhifen Pan… in Euphytica (2012)";"Article";"
      Powdery mildew (Pm), caused by Blumeria graminis f. sp. tritici (Bgt...), is one of the most serious diseases for common wheat in many regions around the world. Seeking ... co-evolution of the pathogen’s virulenc...
    "
"60";"Occurrence of 1BL.1RS wheat-rye chromosome translocation and of Sr36/Pm6 resistance gene cluster in wheat cultivars registered in Hungary";"https://link.springer.com/article/10.1007/s10681-010-0312-y";"László Purnhauser, Lajos Bóna, László Láng in Euphytica (2011)";"Article";"
      The 1BL.1RS wheat-rye translocation and a wheat-Triticum timopheevii chromosomal introgression carry the Sr31, Lr26, Yr9 and Pm8 genes and the Sr36/Pm6...gene cluster, respectively. The objective of this study wa...
    "
